slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
polistes-dominula,insect,flower-visitor;ground-park,flower-bobber;urban-walker,override,Paper wasps forage on flowers for nectar but also hunt prey at ground level on stems and vegetation,Wasp on open flower or building paper nest on stem
porcellio-scaber,insect,ground-park;tree-bark,idle-only,override,Terrestrial isopod sheltering under leaf litter and loose bark; movement below renderer threshold,Woodlouse on damp soil under a log or loose bark
stachys-sylvatica,plant,ground-park,none,default,Non-tree vascular plant rooted in shaded park soil; default fits,Hedge Woundwort flowering spike in dappled park shade
vicia-cracca,plant,ground-park,none,default,Climbing legume rooted in vegetated ground; default fits,Tufted Vetch clambering over park vegetation in flower
yponomeuta-spec,insect,tree-canopy;tree-bark,idle-only;flower-bobber,override,Larvae in silk tents on trees; adults nocturnal and rest motionless on bark/foliage,Silk tent on bird-cherry branch or adult moth at rest on bark
aegopodium-podagraria,plant,ground-park,none,default,Rhizomatous perennial in shaded park ground; default fits,Ground-elder umbel flowers in park understorey
chorthippus-brunneus,insect,ground-park,idle-only;park-roamer,override,Ground-dwelling grass-feeding grasshopper; no flower association; rests and hops on short turf,Field Grasshopper on bare earth or low grass stem
clepsis-dumicolana,insect,tree-canopy;ground-park,idle-only,override,Larvae in rolled leaves on shrubs/trees; adults rest motionlessly on foliage; not a flower visitor,Adult moth at rest on leaf surface or rolled leaf shelter
deraeocoris-ruber,insect,tree-canopy;ground-park,idle-only;flower-bobber,override,Predatory mirid patrolling stems and flower heads; ambush posture dominates over active flower bobbing,Red Bug on nettle or willowherb stem
eupeodes-corollae,insect,flower-visitor;tree-canopy,flower-bobber;sky-looper,override,Hoverfly is a true flower visitor but also migrant with long transit flights; larvae in tree aphid colonies,Hoverfly hovering at umbellifer flower head
hemithea-aestivaria,insect,tree-canopy;ground-park,idle-only,override,Adult rests spread-winged on leaves by day; larvae on broadleaf trees; not a flower visitor,Common Emerald moth pressed flat on green leaf
heracleum-mantegazzianum,plant,ground-park;water-edge,none,override,Invasive plant preferring canal banks and water-adjacent disturbed ground as well as park margins,Giant Hogweed flower plate with insects on canal bank
mycelis-muralis,plant,wall-and-roof;ground-park,none,override,Specialist wall coloniser; wall-and-roof is the characteristic and dominant habitat,Wall Lettuce growing from old brick wall mortar
oligia-spec,insect,ground-park;tree-canopy,idle-only,override,Larvae bore into grass stems at ground level; adults rest flat on bark/stems; no flower association,Oligia moth resting on bark or grass stem
pararge-aegeria,insect,tree-canopy;ground-park,tree-flitter;idle-only,override,Shade butterfly patrolling sun-flecks between trees; territorial sorties between perches on foliage,Speckled Wood in sun-fleck on leaf or territorial spiral flight
peribatodes-rhomboidaria,insect,tree-bark;tree-canopy,idle-only,override,Adult rests cryptically on bark by day; bark-resting is the observed behaviour; larvae on tree foliage,Willow Beauty moth on rough tree bark
rhagonycha-fulva,insect,flower-visitor;ground-park,flower-bobber;idle-only,override,Default flower-visitor fits adults; idle-only added for long resting periods; larvae in soil,Soldier Beetle pair on hogweed or cow parsley flower
rumex-obtusifolius,plant,ground-park;ground-urban,none,override,True generalist of vegetated and paved/disturbed ground; ground-urban secondary genuine,Broad-leaved Dock leaves and rusty seed spikes on verge
verbascum-nigrum,plant,ground-urban;ground-park,none,override,Prefers dry disturbed urban substrates over managed park lawn; ground-urban dominant,Dark Mullein flowering spike on dry road margin or gravel
aeshna-isoceles,insect,water-edge;water-body,sky-looper;idle-only,override,Aquatic dragonfly: larvae in water-body; adults patrol water-edge; sustained aerial flight and perching,Green-eyed Hawker patrolling over reed-fringed pond
berteroa-incana,plant,ground-urban;ground-park,none,override,Pioneer of dry disturbed urban ground (rail margins, gravel) rather than managed park,Hoary Alison on railway embankment or gravel wasteland
chironomidae-indet,insect,water-edge;water-body,sky-looper;idle-only,override,Aquatic insect: larvae in water-body sediment; adult swarms over water-edge; aerial mating swarm,Midge swarm over canal at dusk or larvae in sediment
closterotomus-trivialis,insect,flower-visitor;tree-canopy,flower-bobber;idle-only,override,Plant bug found on flower heads of herbs; default flower-visitor partially fits with idle-only secondary,Plant bug on composite or umbellifer flower head
geum-urbanum,plant,ground-park,none,default,Shaded park-margin perennial; default fits,Wood Avens flowers in dappled park understorey
harmonia-axyridis-f-spectabilis,insect,tree-canopy;flower-visitor,tree-flitter;idle-only,override,Aphid-hunting ladybird moving through canopy; also aggregates on flowers in late summer before overwintering,Harlequin Ladybird on tree leaf or flower head
lagria-spec,insect,flower-visitor;ground-park,flower-bobber;idle-only,override,Adults feed on pollen on flower heads; larvae in soil/leaf litter; long resting periods on stems,Lagria beetle on umbellifer or composite flower
mythimna-impura,insect,ground-park;water-edge,idle-only,override,Grass/reed-feeding moth resting on stems; associated with damp grassland and reed-bed margins,Smoky Wainscot moth on grass stem or at light trap
oedemera-nobilis,insect,flower-visitor;ground-park,flower-bobber;idle-only,override,Default flower-visitor fits well; adults spend nearly all time on pollen-rich flowers; larvae in dead stems,Swollen-thighed Beetle on daisy or buttercup flower
oenothera-spec,plant,ground-urban;ground-park,none,override,Naturalised on disturbed sandy/gravelly urban substrates; ground-urban dominant over managed park,Evening primrose on rail embankment or gravel roadside at dusk
otiorhynchus-sulcatus,insect,ground-park;tree-canopy,idle-only;park-roamer,override,Flightless nocturnal weevil; larvae in soil; adults hide in ground by day and crawl to feed at night,Black Vine Weevil on soil or notched leaf margin at night
