slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
noctua-pronuba,insect,ground-park;tree-bark,idle-only,override,Noctuid moth rests motionless on leaf litter and bark by day; not a flower visitor.,
fulica-atra,bird,water-surface;ground-park,water-drifter;park-roamer,override,Coot lives on water but genuinely grazes on bank lawns — taxonomy example species.,
ardea-cinerea,bird,water-edge,water-edge-stalker;idle-only,override,Wading predator alternates slow patrol along banks with long motionless waiting; taxonomy example species.,
vanessa-atalanta,insect,flower-visitor,flower-bobber,default,Red Admiral is a dedicated nectar feeder at flowers throughout its season.,
larus-fuscus,bird,anywhere;water-surface,sky-looper;urban-walker,override,Large urban-generalist gull that soars aerially and forages on pavements and waterfronts.,
chrysoteuchia-culmella,insect,ground-park,idle-only,override,Grass-specialist crambid moth rests cryptically on grass stems by day; does not visit flowers.,
idaea-aversata,insect,tree-bark;ground-park,idle-only,override,Geometrid moth rests motionless on bark and leaf litter by day; purely nocturnal flier.,
phylloscopus-collybita,bird,tree-canopy,tree-flitter,default,Classic leaf-warbler foraging exclusively in tree canopy with constant short hops.,
alopochen-aegyptiaca,bird,water-surface;ground-park,water-drifter;park-roamer,override,Egyptian Goose alternates between swimming on open water and grazing on park lawns.,
vanessa-cardui,insect,flower-visitor,flower-bobber,default,Painted Lady is a migrant nectar feeder visiting flowers across Amsterdam parks.,
harmonia-axyridis,insect,tree-canopy,idle-only,override,Aphid-predating ladybird that climbs slowly through tree canopy foliage; not a flower visitor.,
coloeus-monedula,bird,wall-and-roof;anywhere,tree-flitter;urban-walker,override,Jackdaw nests in building cavities and forages across all urban substrates.,
apus-apus,bird,sky-only,sky-looper,override,Common Swift is entirely aerial; cannot perch and never lands except at nest cavity.,
pieris-brassicae,insect,flower-visitor,flower-bobber,default,Large White is an active nectar feeder moving between flowers throughout the season.,
podiceps-cristatus,bird,water-body;water-surface,water-drifter;idle-only,override,Diving grebe forages under water (water-body dominant) and rests motionless on the surface.,
episyrphus-balteatus,insect,flower-visitor,flower-bobber,default,Marmalade Hoverfly is an iconic flower visitor; named in the taxonomy as the example.,
clepsis-consimilana,insect,tree-canopy,idle-only,override,Tortricid leaf-roller that rests in tree canopy by day; purely nocturnal and not a flower visitor.,
echium-vulgare,plant,ground-park,none,default,Non-aquatic vascular plant rooted in dry disturbed ground; plant default fits.,
eristalis-tenax,insect,flower-visitor,flower-bobber,default,Common Drone Fly is an abundant flower-visiting hoverfly; adult ecology drives the tag.,
gallinula-chloropus,bird,water-edge;ground-park,water-edge-stalker;park-roamer,override,Moorhen patrols vegetated water margins and ventures onto adjacent park lawns.,
